year,info
1900,Marie and Jean remain the favourite names in France between 1900 and 1950.
1901,Marie and Jean remain the favourite names in France between 1900 and 1950.
1902,Marie and Jean remain the favourite names in France between 1900 and 1950.
1903,Marie and Jean remain the favourite names in France between 1900 and 1950.
1904,Marie and Jean remain the favourite names in France between 1900 and 1950.
1905,Marie and Jean remain the favourite names in France between 1900 and 1950.
1906,Marie and Jean remain the favourite names in France between 1900 and 1950.
1907,Marie and Jean remain the favourite names in France between 1900 and 1950.
1908,Marie and Jean remain the favourite names in France between 1900 and 1950.
1909,Marie and Jean remain the favourite names in France between 1900 and 1950.
1910,Marie and Jean remain the favourite names in France between 1900 and 1950.
1911,Marie and Jean remain the favourite names in France between 1900 and 1950.
1912,Marie and Jean remain the favourite names in France between 1900 and 1950.
1913,Marie and Jean remain the favourite names in France between 1900 and 1950.
1914,The first world war affected the birth in France. We observe dropping values between 1914 and 1918 for most names.
1915,The first world war affected the birth in France. We observe dropping values between 1914 and 1918 for most names.
1916,The first world war affected the birth in France. We observe dropping values between 1914 and 1918 for most names.
1917,The first world war affected the birth in France. We observe dropping values between 1914 and 1918 for most names.
1918,The first world war affected the birth in France. We observe dropping values between 1914 and 1918 for most names.
1919,Marie and Jean remain the favourite names in France between 1900 and 1950.
1920,Marie and Jean remain the favourite names in France between 1900 and 1950.
1921,Marie and Jean remain the favourite names in France between 1900 and 1950.
1922,Marie and Jean remain the favourite names in France between 1900 and 1950.
1923,Marie and Jean remain the favourite names in France between 1900 and 1950.
1924,Marie and Jean remain the favourite names in France between 1900 and 1950.
1925,Marie and Jean remain the favourite names in France between 1900 and 1950.
1926,Marie and Jean remain the favourite names in France between 1900 and 1950.
1927,Marie and Jean remain the favourite names in France between 1900 and 1950.
1928,Marie and Jean remain the favourite names in France between 1900 and 1950.
1929,Marie and Jean remain the favourite names in France between 1900 and 1950.
1930,Marie and Jean remain the favourite names in France between 1900 and 1950.
1931,Marie and Jean remain the favourite names in France between 1900 and 1950.
1932,Marie and Jean remain the favourite names in France between 1900 and 1950.
1933,Marie and Jean remain the favourite names in France between 1900 and 1950.
1934,Marie and Jean remain the favourite names in France between 1900 and 1950.
1935,Marie and Jean remain the favourite names in France between 1900 and 1950.
1936,Marie and Jean remain the favourite names in France between 1900 and 1950.
1937,Marie and Jean remain the favourite names in France between 1900 and 1950.
1938,Marie and Jean remain the favourite names in France between 1900 and 1950.
1939,Marie and Jean remain the favourite names in France between 1900 and 1950.
1940,Marie and Jean remain the favourite names in France between 1900 and 1950.
1941,Marie and Jean remain the favourite names in France between 1900 and 1950.
1942,Marie and Jean remain the favourite names in France between 1900 and 1950.
1943,Marie and Jean remain the favourite names in France between 1900 and 1950.
1944,Marie and Jean remain the favourite names in France between 1900 and 1950.
1945,Marie and Jean remain the favourite names in France between 1900 and 1950.
1946,The babyboom lasted between approximalty 1946 and 1960 in France.
1947,The babyboom lasted between approximalty 1946 and 1960 in France.
1948,The babyboom lasted between approximalty 1946 and 1960 in France.
1949,The babyboom lasted between approximalty 1946 and 1960 in France.
1950,The babyboom lasted between approximalty 1946 and 1960 in France.
1951,The babyboom lasted between approximalty 1946 and 1960 in France.
1952,The babyboom lasted between approximalty 1946 and 1960 in France.
1953,The babyboom lasted between approximalty 1946 and 1960 in France.
1954,The babyboom lasted between approximalty 1946 and 1960 in France.
1955,The babyboom lasted between approximalty 1946 and 1960 in France.
1956,The babyboom lasted between approximalty 1946 and 1960 in France.
1957,The babyboom lasted between approximalty 1946 and 1960 in France.
1958,The babyboom lasted between approximalty 1946 and 1960 in France.
1959,The babyboom lasted between approximalty 1946 and 1960 in France.
1960,The babyboom lasted between approximalty 1946 and 1960 in France.
